Elev (deg)	HE SNRmargin (m)
3.7377	62.4410567
3.74775	63.62557511
3.7578	64.86005727
3.76785	66.1428481
3.7779	67.47031339
3.78795	68.8291305
3.798	70.2162065
3.80805	71.62018261
3.8181	73.04756253
3.82815	74.50114564
3.8382	75.99188816
3.84825	77.5341891
3.8583	79.14344808
3.86835	80.81961932
3.8784	82.56423853
3.88845	84.3683585
3.8985	86.21928363
3.90855	88.10942495
3.9186	90.02862401
3.92865	91.97839883
3.9387	93.96995464
3.94875	96.0167268
3.9588	98.14436228
3.96885	100.359709
3.9789	102.6744875
3.98895	105.0862831
3.999	107.5820244
4.00905	110.1499999
4.0191	112.7686358
4.02915	115.4360292
4.0392	118.1525868
4.04925	120.9285329
4.0593	123.7911132
4.06935	126.7710109
4.0794	129.8811041
4.08945	133.1390796
4.0995	136.5358913
4.10955	140.053973
4.1196	143.6784613
4.12965	147.3809886
4.1397	151.1542778
4.14975	155.0057803
4.1598	158.949501
4.16985	163.0379712
4.1799	167.285758
4.18995	171.745193
4.2	176.4120978
