pass tile     nadir-lat-start(deg)     nadir-lon-start(deg)     nadir-hdg-start(deg) //Nom_orbit
0001 0268    63.255491100000007521    21.155837649999998717    26.712785440000001103
0001 0269    63.766995530000002645    21.739768760000000469    27.310457209999999151
0001 0270    64.275662199999999302    22.346697200000004813    27.931435149999995105
0001 0271    64.781321259999998574    22.977880790000000388    28.576969280000000140
0001 0272    65.283790019999997867    23.634656750000001324    29.248389020000001182
0001 0273    65.782871779999993578    24.318446439999998887    29.947107980000001959
0001 0274    66.278354729999989559    25.030760289999999912    30.674628800000000695
0001 0275    66.770010490000004211    25.773202420000000501    31.432547830000007849
0001 0276    67.257592790000003902    26.547475429999998653    32.222559930000002737
0001 0277    67.740835860000004232    27.355384910000005050    33.046462920000003294
0001 0278    68.219452889999999456    28.198843669999998696    33.906161879999999087
0001 0279    68.693134009999994305    29.079875049999998282    34.803672399999996401
0001 0280    69.161544629999994527    30.000616060000005803    35.741123749999999859
0001 0281    69.624323180000018851    30.963318739999998286    36.720760269999999537
0001 0282    70.081079060000007530    31.970350569999993695    37.744941689999997436
0001 0283    70.531390299999998206    33.024192599999999231    38.816141360000003147
0001 0284    70.974801220000003354    34.127435349999998948    39.936942070000007732
0001 0285    71.410819910000014943    35.282771289999992348    41.110028579999998044
0001 0286    71.838915839999998525    36.492983649999999329    42.338176410000002647
0001 0287    72.258517380000000685    37.760930399999999452    43.624235830000003489
0001 0288    72.669009370000011927    39.089522139999999695    44.971109749999996552
0001 0289    73.069731020000006083    40.481693410000005429    46.381725010000003806
0001 0290    73.459973969999992960    41.940365610000000629    47.858995299999996575
0001 0291    73.838980870000000323    43.468400680000002012    49.405774880000002725
0001 0292    74.205944509999994807    45.068543849999997519    51.024801289999999199
0001 0293    74.560007850000005192    46.743355249999993362    52.718626970000002530
0001 0294    74.900265000000004534    48.495128559999997719    54.489537919999996518
0001 0295    75.225763589999999681    50.325797150000006752    56.339459820000001855
0001 0296    75.535508750000005307    52.236827949999998566    58.269851920000007794
0001 0297    75.828468890000010560    54.229104419999998754    60.281590000000008445
0001 0298    76.103583779999993908    56.302801610000003052    62.374841449999998133
0001 0299    76.359774839999985829    58.457256839999999443    64.548935880000001930
0001 0300    76.595958170000002951    60.690843349999994416    66.802238880000004428
0001 0301    76.811059940000006918    63.000853190000000836    69.132034820000001218
0001 0302    77.004034300000000712    65.383399650000001202    71.534429320000000985
0001 0303    77.173883369999998649    67.833349099999992404    74.004281070000004661
0001 0304    77.319678650000000175    70.344292499999994561    76.535173349999993775
0001 0305    77.440583089999989852    72.908565929999994637    79.119434589999997343
0001 0306    77.535872890000007374    75.517327730000005204    81.748215459999997279
0001 0307    77.604957740000003241    78.160694399999997017    84.411624759999995149
0001 0308    77.647398259999988568    80.827933389999984115    87.098922299999998131
0002 0001    77.662994639999993751    83.707449819999993679    90.000000000000000000
0002 0002    77.647398259999988568    86.586966250000003242    92.901077720000003524
0002 0003    77.604957740000003241    89.254205240000004551    95.588375259999992295
0002 0004    77.535872890000007374    91.897571909999996365    98.251784569999998098
0002 0005    77.440583089999989852    94.506333720000000653   100.880565430000004312
0002 0006    77.319678650000000175    97.070607150000000729   103.464826669999993669
0002 0007    77.173883369999998649    99.581550539999994953   105.995718949999996994
0002 0008    77.004034300000000712   102.031499990000014577   108.465570700000000670
0002 0009    76.811059940000006918   104.414046450000000732   110.867965200000000436
0002 0010    76.595958170000002951   106.724056289999992941   113.197761139999997226
0002 0011    76.359774839999985829   108.957642799999987915   115.451064139999999725
0002 0012    76.103583779999993908   111.112097959999999830   117.625158500000026152
0002 0013    75.828468890000010560   113.185795150000004128   119.718409950000008735
0002 0014    75.535508739999997374   115.178071689999995897   121.730148100000008071
0002 0015    75.225763589999999681   117.089102490000001922   123.660540200000014011
0002 0016    74.900264989999996601   118.919771080000003849   125.510462099999998031
0002 0017    74.560007839999997259   120.671544389999993996   127.281373049999999125
0002 0018    74.205944509999994807   122.346355779999967694   128.975198720000008734
0002 0019    73.838980870000000323   123.946498959999999556   130.594225130000012314
0002 0020    73.459973959999999238   125.474534030000000939   132.141004710000004252
0002 0021    73.069731020000006083   126.933206220000002418   133.618275000000011232
0002 0022    72.669009370000011927   128.325377500000030295   135.028890259999997170
0002 0023    72.258517380000000685   129.653969230000001289   136.375764180000004444
0002 0024    71.838915839999998525   130.921915979999994306   137.661823599999991075
0002 0025    71.410819910000014943   132.132128340000008393   138.889971430000002783
0002 0026    70.974801209999995422   133.287464279999966266   140.063057939999993096
0002 0027    70.531390299999998206   134.390707029999987299   141.183858649999990575
0002 0028    70.081079060000007530   135.444549060000014151   142.255058319999989180
0002 0029    69.624323180000018851   136.451580890000002455   143.279239740000008396
0002 0030    69.161544620000000805   137.414283570000037571   144.258876249999985930
0002 0031    68.693134009999994305   138.335024570000001631   145.196327609999997321
0002 0032    68.219452880000005734   139.216055960000005598   146.093838129999994635
0002 0033    67.740835869999997954   140.059514689999986103   146.953537060000002157
0002 0034    67.257592780000010180   140.867424199999959455   147.777440079999990985
0002 0035    66.770010490000004211   141.641697200000010071   148.567452170000024125
0002 0036    66.278354719999995837   142.384139330000010659   149.325371209999985922
0002 0037    65.782871769999999856   143.096453190000005407   150.052892030000009527
0002 0038    65.283790010000004145   143.780242880000002970   150.751610980000009476
0002 0039    64.781321250000004852   144.437018829999999525   151.423030729999993582
0002 0040    64.275662190000005580   145.068202420000005759   152.068564850000001343
0002 0041    63.766995530000002645   145.675130870000032246   152.689542799999998124
0002 0042    63.255491110000001242   146.259061959999996816   153.287214540000036322
0002 0043    62.741306880000003332   146.821178709999998091   153.862755320000019310
0002 0044    62.224589979999997524   147.362593690000011293   154.417269860000004655
0002 0045    61.705477420000001132   147.884353439999983948   154.951796900000005053
0002 0046    61.184096940000010534   148.387442539999995006   155.467313170000039690
0002 0047    60.660567769999993004   148.872787380000005442   155.964737219999989293
0002 0048    60.135001240000001133   149.341259949999994205   156.444933190000000423
0002 0049    59.607501420000005510   149.793681230000004234   156.908714169999996102
0002 0050    59.078165569999995910   150.230824519999998756   157.356845600000013974
0002 0051    58.547084839999989470   150.653418380000005072   157.790048130000002402
0002 0052    58.014344560000004947   151.062149640000029649   158.209000700000018469
